Species Name,Common Name,GRANK,SRANK,FEDERAL,STATE
Festuca paradoxa cluster,fescue,G5,S2,,ST
Fimbristylis annua annual,fimbry,G5,S1,,SE
Fimbristylis puberula,Carolina fimbry,G5,S1,,SE
Fleischmannia incarnata pink,thoroughwort,G5,S2,,ST
Fragaria vesca,var. americana woodland strawberry,G5T5,S1,,SE
Fuirena pumila dwarf,umbrella-sedge,G5,S2,,ST
Galium labradoricum bog,bedstraw,G5,S2,,ST
Gaura filipes slender-stalked,gaura,G5,S2,,SE
Gentiana flavida yellow,gentian,G4,S3,,ST
Gentiana puberulenta downy,gentian,G4G5,S1,,SE
Gentiana villosa striped,gentian,G4,S1,,SE
Geranium bicknellii,Bicknell's northern cranesbill,G5,S1,,SE
Geranium robertianum,herb-Robert,G5,S3,,ST
Geum aleppicum yellow,avens,G5,S2,,ST
Geum fragarioides barren,strawberry,G5,S3,,ST
Geum rivale purple,avens,G5,S1,,SE
Gleditsia aquatica,water-locust,G5,S1,,SE
Glyceria acutiflora sharp-scaled,manna-grass,G5,S1,,SE
Glyceria borealis small,floating manna-grass,G5,S1,,SE
Glyceria grandis,American manna-grass,G5,S1,,SE
Gonolobus suberosus angular-fruited,milkvine,G5,S3,,ST
Gymnopogon ambiguus broadleaf,beardgrass,G4,SX,,SX
Helanthium tenellum dwarf,burhead,G5?,SX,,SX
Helenium virginicum,Virginia sneezeweed,G3,S1,T,SE
Helianthus angustifolius swamp,sunflower,G5,S1,,SE
Hesperostipa comata sewing,needlegrass,G5,SX,,SX
Heterotheca camporum,var. camporum hairy golden-aster,G5TNR,S3,,ST
Hexalectris spicata crested,coralroot,G5,S3,,ST
Hibiscus moscheutos,ssp. lasiocarpos hairy-fruited hibiscus,G5T4,S1,,SE
Hippuris vulgaris common,mare's-tail,G5,SX,,SX
Hottonia inflata,featherfoil,G4,S2,,ST
Hudsonia tomentosa,var. tomentosa sand-heather,G5T5Q,S2,,ST
Hydrocotyle americana,American water-pennywort,G5,S1,,SE
