Common Name,Scientific Name,State,State Status,Federal Status
STIRRUPSHELL,THELIDERMA STAPES,Mississippi,Endangered,LE
CAMP SHELBY BURROWING CRAWFISH,CREASERINUS GORDONI,Mississippi,Endangered,
AMERICAN BURYING BEETLE,NICROPHORUS AMERICANUS,Mississippi,Endangered,LE
MITCHELL’S SATYR,NEONYMPHA MITCHELLII MITCHELLII,Mississippi,Endangered,LE
GULF STURGEON,ACIPENSER OXYRINCHUS DESOTOI,Mississippi,Endangered,LT
PALLID STURGEON,SCAPHIRHYNCHUS ALBUS,Mississippi,Endangered,LE
ALABAMA STURGEON,SCAPHIRHYNCHUS SUTTKUSI,Mississippi,Endangered,LE
SOUTHERN REDBELLY DACE,CHROSOMUS ERYTHROGASTER,Mississippi,Endangered,
BIGEYE SHINER,NOTROPIS BOOPS,Mississippi,Endangered,
IRONCOLOR SHINER,NOTROPIS CHALYBAEUS,Mississippi,Endangered,
SUCKERMOUTH MINNOW,PHENACOBIUS MIRABILIS,Mississippi,Endangered,
CRYSTAL DARTER,CRYSTALLARIA ASPRELLA,Mississippi,Endangered,
GREENSIDE DARTER,ETHEOSTOMA BLENNIOIDES,Mississippi,Endangered,
BAYOU DARTER,ETHEOSTOMA RUBRUM,Mississippi,Endangered,LT
PEARL DARTER,PERCINA AURORA,Mississippi,Endangered,LT
SLENDERHEAD DARTER,PERCINA PHOXOCEPHALA,Mississippi,Endangered,
SLENDER MADTOM,NOTURUS EXILIS,Mississippi,Endangered,
PIEBALD MADTOM,NOTURUS GLADIATOR,Mississippi,Endangered,
FRECKLEBELLY MADTOM,NOTURUS MUNITUS,Mississippi,Endangered,
DUSKY GOPHER FROG,RANA SEVOSA,Mississippi,Endangered,LE
ONE-TOED AMPHIUMA,AMPHIUMA PHOLETER,Mississippi,Endangered,
HELLBENDER,CRYPTOBRANCHUS ALLEGANIENSIS,Mississippi,Endangered,PS
GREEN SALAMANDER,ANEIDES AENEUS,Mississippi,Endangered,
CAVE SALAMANDER,EURYCEA LUCIFUGA,Mississippi,Endangered,
SPRING SALAMANDER,GYRINOPHILUS PORPHYRITICUS,Mississippi,Endangered,
EASTERN INDIGO SNAKE,DRYMARCHON COUPERI,Mississippi,Endangered,LT
RAINBOW SNAKE,FARANCIA ERYTROGRAMMA,Mississippi,Endangered,
SOUTHERN HOGNOSE SNAKE,HETERODON SIMUS,Mississippi,Endangered,
BLACK PINE SNAKE,PITUOPHIS MELANOLEUCUS LODINGI,Mississippi,Endangered,LT
LOGGERHEAD SEA TURTLE,CARETTA CARETTA,Mississippi,Endangered,LT
GREEN SEA TURTLE,CHELONIA MYDAS,Mississippi,Endangered,LT
HAWKSBILL SEA TURTLE,ERETMOCHELYS IMBRICATA,Mississippi,Endangered,LE
KEMP'S RIDLEY SEA TURTLE,LEPIDOCHELYS KEMPII,Mississippi,Endangered,LE
LEATHERBACK SEA TURTLE,DERMOCHELYS CORIACEA,Mississippi,Endangered,LE
YELLOW-BLOTCHED MAP TURTLE,GRAPTEMYS FLAVIMACULATA,Mississippi,Endangered,LT
BLACK-KNOBBED MAP TURTLE,GRAPTEMYS NIGRINODA,Mississippi,Endangered,
RINGED MAP TURTLE,GRAPTEMYS OCULIFERA,Mississippi,Endangered,LT
ALABAMA RED-BELLIED TURTLE,PSEUDEMYS ALABAMENSIS,Mississippi,Endangered,LE
GOPHER TORTOISE,GOPHERUS POLYPHEMUS,Mississippi,Endangered,LT
PIPING PLOVER,CHARADRIUS MELODUS,Mississippi,Endangered,LT
SNOWY PLOVER,CHARADRIUS NIVOSUS,Mississippi,Endangered,PS:LT
INTERIOR LEAST TERN,STERNULA ANTILLARUM ATHALASSOS,Mississippi,Endangered,PS:LE
WOOD STORK,MYCTERIA AMERICANA,Mississippi,Endangered,LT
SWALLOW-TAILED KITE,ELANOIDES FORFICATUS,Mississippi,Endangered,
PEREGRINE FALCON,FALCO PEREGRINUS,Mississippi,Endangered,
MISSISSIPPI SANDHILL CRANE,GRUS CANADENSIS PULLA,Mississippi,Endangered,LE
BACHMAN'S WARBLER,VERMIVORA BACHMANII,Mississippi,Endangered,LE
BEWICK'S WREN,THRYOMANES BEWICKII,Mississippi,Endangered,
BROWN PELICAN,PELECANUS OCCIDENTALIS,Mississippi,Endangered,
IVORY-BILLED WOODPECKER,CAMPEPHILUS PRINCIPALIS,Mississippi,Endangered,LE
