Common Name,Scientific Name,Status,State,Taxon Key
Black-necked Crane,Grus nigricollis,Endangered,All,2474960
Black pinesnake,Pituophis melanoleucus lodingi,Threatened,All,6162125
Black rhinoceros,Diceros bicornis,Endangered,All,5220111
Blackside dace,Phoxinus cumberlandensis,Threatened,All,2365380
Black softshell turtle,Trionyx nigricans,Endangered,All,2442549
Black spored quillwort,Isoetes melanospora,Endangered,All,2688311
Black Stilt,Himantopus novaezelandiae,Endangered,All,5229125
Black warrior (=Sipsey Fork) Waterdog,Necturus alabamensis,Endangered,All,2432057
Bliss Rapids snail,Taylorconcha serpenticola,Threatened,All,8976237
Blodgett's silverbush,Argythamnia blodgettii,Threatened,All,5380293
Blowout penstemon,Penstemon haydenii,Endangered,All,7764992
Blue-billed curassow,Crax alberti,Endangered,All,2482178
bluemask darter,Etheostoma akatulo,Endangered,All,2382240
Blue Ridge goldenrod,Solidago spithamaea,Threatened,All,7854339
Blue shiner,Cyprinella caerulea,Threatened,All,5207694
blue-tailed mole skink,Eumeces egregius lividus,Threatened,All,4287453
Blue-throated macaw,Ara glaucogularis,Endangered,All,5959235
Blue-throated (=ochre-marked) parakeet,Pyrrhura cruentata,Endangered,All,2479855
Blue whale,Balaenoptera musculus,Endangered,All,2440735
Blunt-nosed leopard lizard,Gambelia silus,Endangered,All,
Blyth's tragopan pheasant,Tragopan blythii,Endangered,All,2473540
Bocaccio,Sebastes paucispinis,Endangered,All,2335466
bog buck moth,Hemileuca maia menyanthevora (=H. iroquois),Endangered,All,1865313
bog turtle,Glyptemys muhlenbergii,Threatened,All,2443122
Bolivian short-tailed chinchilla,Chinchilla chinchilla boliviana,Endangered,All,5706732
Bolson tortoise,Gopherus flavomarginatus,Endangered,All,2441819
Bone Cave harvestman,Texella reyesi,Endangered,All,6908601
Bontebok,Damaliscus pygarus (=dorcas) dorcas,Endangered,All,2441042
Bonytail,Gila elegans,Endangered,All,2360109
Boulder darter,Etheostoma wapiti,Endangered,All,2382213
Boulder star coral,Orbicella franksi,Threatened,All,7454567
