County,Scientific Name,Common Name,Status,Category,Date,Count
Tazewell,Setophaga cerulea,Cerulean Warbler,LT,Birds,6/6/2010,1
Tazewell,Lethenteron appendix,American Brook Lamprey,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",7/29/1999,2
Tazewell,Acipenser fulvescens,Lake Sturgeon,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",6/22/2016,3
Tazewell,Alburnops chalybaeus,Ironcolor Shiner,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",7/1/1963,1
Tazewell,Moxostoma carinatum,River Redhorse,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",1985,1
Tazewell,Percopsis omiscomaycus,Trout-perch,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",1963,5
Tazewell,Fundulus dispar,Starhead Topminnow,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",7/21/1967,2
Tazewell,Lepomis miniatus,Redspotted Sunfish,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",10/1/2014,2
Tazewell,Terrapene ornata,Ornate Box Turtle,LT,Turtles,6/6/2008,1
Tazewell,Kinosternon flavescens,Yellow Mud Turtle,LE,Turtles,7/14/2009,4
Tazewell,Heterodon nasicus,Plains Hog-nosed Snake,LT,Reptiles,2007,1
Tazewell,Elliptio crassidens,Elephant-ear,LE,Freshwater Mussels,8/19/2012,1
Tazewell,Reginaia ebenus,Ebonyshell,LE,Freshwater Mussels,8/4/2012,1
Tazewell,Eurybia furcata,Forked Aster,LT,Dicots,1987,1
Tazewell,Boltonia decurrens,Decurrent False Aster,LT,Dicots,10/13/2017,2
Tazewell,Tetraneuris herbacea,Lakeside Daisy,LE,Dicots,5/2/2013,1
Tazewell,Polanisia jamesii,James' Clammyweed,LE,Dicots,8/31/2012,1
Tazewell,Astragalus tennesseensis,Tennessee Milk Vetch,LE,Dicots,7/21/2025,1
Tazewell,Corydalis aurea,Golden Corydalis,LE,Dicots,2021-04,1
Tazewell,Orobanche ludoviciana,Broomrape,LT,Dicots,8/15/2014,1
Tazewell,Plantago cordata,Heart-leaved Plantain,LE,Dicots,6/25/2025,1
Tazewell,Synthyris bullii,Kittentails,LT,Dicots,4/23/2020,3
Tazewell,Cypripedium parviflorum,Small Yellow Lady's Slipper,LE,Monocots,5/6/2017,2
Tazewell,Poa wolfii,Wolf's Bluegrass,LE,Monocots,5/28/1998,1
Tazewell,Bombus affinis,Rusty Patched Bumble Bee,LE,Bumble Bees,7/12/2024,1
Tazewell,Circus hudsonius,Northern Harrier,LE,Birds,2/10/2015,1
Tazewell,Necturus maculosus,Mudpuppy,LT,Amphibians,10/30/2018,1
Tazewell,Anthophora walshii,Walsh's Anthophora,LT,Digger Bees,7/1/1973,1
Union,Hyla avivoca,Bird-voiced Treefrog,LT,Amphibians,10/17/2024,3
Union,Gastrophryne carolinensis,Eastern Narrowmouth Toad,LT,Amphibians,7/19/2023,2
Union,Ixobrychus exilis,Least Bittern,LT,Birds,7/30/1993,1
Union,Egretta caerulea,Little Blue Heron,LE,Birds,5/28/2021,2
Union,Gallinula galeata,Common Gallinule,LE,Birds,7/30/1993,1
Union,Antrostomus carolinensis,Chuck-will's-widow,LT,Birds,2024-07,3
Union,Lanius ludovicianus,Loggerhead Shrike,LE,Birds,5/6/1989,1
Union,Setophaga cerulea,Cerulean Warbler,LT,Birds,5/27/2025,4
Union,Scaphirhynchus albus,Pallid Sturgeon,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",4/27/2015,1
Union,Hybognathus hayi,Cypress Minnow,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",8/19/1997,1
Union,Miniellus boops,Bigeye Shiner,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",6/21/2024,8
Union,Alburnops texanus,Weed Shiner,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",2007,1
Union,Macrhybopsis gelida,Sturgeon Chub,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",4/8/1978,1
Union,Moxostoma carinatum,River Redhorse,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",7/2/2003,1
Union,Percopsis omiscomaycus,Trout-perch,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",6/16/1999,1
Union,Fundulus dispar,Starhead Topminnow,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",11/8/2025,3
Union,Elassoma zonatum,Banded Pygmy Sunfish,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",11/8/2025,3
Union,Lepomis symmetricus,Bantam Sunfish,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",9/27/2025,4
Union,Lepomis miniatus,Redspotted Sunfish,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",8/20/2025,3
Union,Ammocrypta clara,Western Sand Darter,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",1997,1
Union,Myotis austroriparius,Southeastern Myotis,LE,Mammals,11/19/2016,3
Union,Myotis sodalis,Indiana Bat,LE,Mammals,2/25/2024,10
Union,Myotis septentrionalis,Northern Long-eared Bat,LE,Mammals,2/25/2024,9
Union,Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,LE,Mammals,8/21/2013,1
Union,Macrochelys temminckii,Alligator Snapping Turtle,LE,Turtles,10/11/2022,4
Union,Nerodia cyclopion,Mississippi Green Watersnake,LT,Reptiles,10/23/2022,1
Union,Tantilla gracilis,Flat-headed Snake,LT,Reptiles,4/13/2024,1
Union,Thamnophis saurita,Eastern Ribbon Snake,LT,Reptiles,9/27/2019,1
Union,Crotalus horridus,Timber Rattlesnake,LT,Reptiles,3/30/2025,9
Union,Crangonyx packardi,Packard's Cave Amphipod,LE,Amphipods,1965-06,1
Union,Iresine rhizomatosa,Bloodleaf,LE,Dicots,9/4/2022,1
Union,Ptilimnium nuttallii,Mock Bishop's Weed,LE,Dicots,1981,1
Union,Euonymus americanus,American Strawberry Bush,LT,Dicots,7/9/1991,1
Union,Melothria pendula,Squirting Cucumber,LT,Dicots,6/4/2025,9
Union,Quercus phellos,Willow Oak,LT,Dicots,5/21/2018,2
Union,Quercus montana,Rock Chestnut Oak,LT,Dicots,1/17/2022,1
Union,Hydrolea uniflora,One-flowered Hydrolea,LE,Dicots,9/14/1977,1
Union,Carya aquatica,Water Hickory,LE,Dicots,6/27/1957,1
Union,Carya pallida,Pale Hickory,LE,Dicots,4/22/2021,3
Union,Juglans cinerea,Butternut,LE,Dicots,5/8/1991,1
Union,Monarda clinopodia,White Bergamot,LT,Dicots,7/11/1941,1
Union,Synandra hispidula,Hairy Synandra,LT,Dicots,4/27/2024,1
Union,Dodecatheon frenchii,French's Shootingstar,LT,Dicots,6/3/2025,4
Union,Lysimachia radicans,Creeping Loosestrife,LE,Dicots,8/2/2022,1
Union,Agalinis skinneriana,Pale False Foxglove,LT,Dicots,2005-10,1
Union,Styrax americanus,Storax,LT,Dicots,11/4/2021,1
Union,Urtica chamaedryoides,Nettle,LT,Dicots,4/30/2023,6
Union,Pinus echinata,Shortleaf Pine,LE,Conifers,4/22/2021,2
Union,Carex decomposita,Cypress-knee Sedge,LE,Monocots,10/4/2019,1
Union,Carex gigantea,Large Sedge,LE,Monocots,6/18/2005,1
Union,Carex intumescens,Swollen Sedge,LT,Monocots,10/4/2022,2
Union,Carex nigromarginata,Black-edged Sedge,LE,Monocots,4/23/2025,4
Union,Carex oxylepis var. oxylepis,Sharp-scaled Sedge,LT,Monocots,8/7/2013,2
Union,Carex albicans var. australis,Bellows Beak Sedge,LE,Monocots,4/19/1983,2
Union,Carex willdenowii,Willdenow's Sedge,LT,Monocots,5/26/1988,1
Union,Scleria pauciflora,Carolina Whipgrass,LE,Monocots,9/17/2024,1
Union,Trillium viride,Green Trillium,LE,Monocots,4/23/2025,2
Union,Platanthera flava,Tubercled Orchid,LT,Monocots,8/31/2023,1
Union,Spiranthes vernalis,Spring Ladies' Tresses,LE,Monocots,6/27/2024,1
Union,Dichanthelium yadkinense,Panic Grass,LE,Monocots,10/29/2024,1
Union,Dichanthelium joorii,Panic Grass,LE,Monocots,1988,1
Union,Glyceria arkansana,Arkansas Mannagrass,LE,Monocots,8/29/2013,2
Union,Torreyochloa pallida,Grass,LE,Monocots,6/18/2005,1
Union,Asplenium bradleyi,Bradley's Spleenwort,LE,Leptosporangiate Ferns,3/4/2024,2
Union,Asplenium resiliens,Black Spleenwort,LE,Leptosporangiate Ferns,3/1/2022,1
Union,Vandenboschia boschiana,Filmy Fern,LE,Leptosporangiate Ferns,2/14/2024,1
Union,Sceptridium biternatum,Southern Grape Fern,LE,"Adder's-tongues, Grapeferns, and Moonworts",10/13/1996,1
Union,Circus hudsonius,Northern Harrier,LE,Birds,12/29/2011,1
Union,Necturus maculosus,Mudpuppy,LT,Amphibians,3/14/2010,1
Union,Prostoia ozarkensis,Central Forestfly,LE,Stoneflies,3/22/2015,2
Union,Forbesichthys papilliferus,Shawnee Hills Cavefish,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",4/7/2022,9
Union,Phemeranthus parviflorus,Small Flower-of-an-hour,LT,Dicots,5/22/2024,1
Union,Etheostoma histrio,Harlequin Darter,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",9/5/2019,2
Union,Apalone mutica,Smooth Softshell,LT,Turtles,8/9/1993,1
Union,Reginaia ebenus,Ebonyshell,LE,Freshwater Mussels,9/23/2014,1
Union,Potamilus capax,Fat Pocketbook,LE,Freshwater Mussels,9/23/2014,1
Union,Lithasia obovata,Shawnee Rocksnail,LE,Freshwater Snails,9/10/2009,1
Union,Euonymus americanus,American Strawberry Bush,LT,Dicots,10/6/2022,1
Union,Carex oxylepis var. oxylepis,Sharp-scaled Sedge,LT,Monocots,5/6/2022,1
Vermilion,Ambystoma platineum,Silvery Salamander,LE,Amphibians,3/24/2022,7
Vermilion,Hemidactylium scutatum,Four-toed Salamander,LT,Amphibians,4/2/2023,1
Vermilion,Ixobrychus exilis,Least Bittern,LT,Birds,6/14/2012,2
Vermilion,Pandion haliaetus,Osprey,LT,Birds,6/17/2023,1
Vermilion,Bartramia longicauda,Upland Sandpiper,LE,Birds,7/4/1986,1
Vermilion,Asio flammeus,Short-eared Owl,LE,Birds,12/14/2014,3
Vermilion,Lethenteron appendix,American Brook Lamprey,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",1/23/2001,1
Vermilion,Cottus bairdii,Mottled Sculpin,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",7/18/2024,6
Vermilion,Hybopsis amblops,Bigeye Chub,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",8/20/2024,18
Vermilion,Nocomis micropogon,River Chub,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",5/19/2001,2
Vermilion,Miniellus boops,Bigeye Shiner,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",8/20/2020,7
Vermilion,Erimystax x-punctatus,Gravel Chub,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",9/23/2021,4
Vermilion,Moxostoma carinatum,River Redhorse,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",10/12/2020,9
Vermilion,Noturus stigmosus,Northern Madtom,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",1962-08,1
Vermilion,Ammocrypta pellucida,Eastern Sand Darter,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",8/31/2023,12
Vermilion,Nothonotus camurus,Bluebreast Darter,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",8/20/2024,18
Vermilion,Myotis austroriparius,Southeastern Myotis,LE,Mammals,1996,2
Vermilion,Myotis sodalis,Indiana Bat,LE,Mammals,8/22/2022,6
Vermilion,Myotis septentrionalis,Northern Long-eared Bat,LE,Mammals,9/2/2014,4
Vermilion,Poliocitellus franklinii,Franklin's Ground Squirrel,LT,Mammals,5/23/2009,1
Vermilion,Emydoidea blandingii,Blanding's Turtle,LE,Turtles,6/12/2018,2
Vermilion,Apalone mutica,Smooth Softshell,LT,Turtles,9/13/2012,1
Vermilion,Calephelis muticum,Swamp Metalmark,LE,Butterflies,6/18/1989,1
Vermilion,Cyclonaias tuberculata,Purple Wartyback,LT,Freshwater Mussels,9/18/2025,22
Vermilion,Reginaia ebenus,Ebonyshell,LE,Freshwater Mussels,8/30/2016,1
Vermilion,Lampsilis fasciola,Wavy-rayed Lampmussel,LE,Freshwater Mussels,9/29/2025,32
Vermilion,Pleurobema clava,Clubshell,LE,Freshwater Mussels,9/18/2025,7
Vermilion,Ptychobranchus fasciolaris,Kidneyshell,LE,Freshwater Mussels,9/18/2025,4
Vermilion,Theliderma cylindrica,Rabbitsfoot,LE,Freshwater Mussels,9/18/2025,5
Vermilion,Simpsonaias ambigua,Salamander Mussel,LE,Freshwater Mussels,11/2/2016,5
Vermilion,Toxolasma lividum,Purple Lilliput,LE,Freshwater Mussels,9/29/2025,11
Vermilion,Asclepias meadii,Mead's Milkweed,LE,Dicots,6/15/2024,1
Vermilion,Silene regia,Royal Catchfly,LE,Dicots,7/16/2015,1
Vermilion,Juglans cinerea,Butternut,LE,Dicots,7/27/1992,1
Vermilion,Monarda clinopodia,White Bergamot,LT,Dicots,7/31/2025,3
Vermilion,Filipendula rubra,Queen-of-the-prairie,LT,Dicots,7/11/2016,2
Vermilion,Viola viarum,Limestone Riverbank Violet,LE,Dicots,5/21/2023,2
Vermilion,Carex bromoides,Sedge,LT,Monocots,5/15/2012,1
Vermilion,Carex prasina,Drooping Sedge,LT,Monocots,6/14/2024,2
