County,Scientific Name,Common Name,Class,Order,Family,Federal Status,State Status,SGCN,Most Recent Observation Year
Graves,Vireo bellii,Bell's Vireo,Aves,Passeriformes,Vireonidae,N,S,Yes,2004
Graves,Ardea alba,Great Egret,Aves,Pelecaniformes,Ardeidae,N,T,Yes,2014
Graves,Egretta caerulea,Little Blue Heron,Aves,Pelecaniformes,Ardeidae,N,E,No,2001
Graves,Nyctanassa violacea,Yellow-crowned Night-heron,Aves,Pelecaniformes,Ardeidae,N,T,Yes,1996
Graves,Podilymbus podiceps,Pied-billed Grebe,Aves,Podicipediformes,Podicipedidae,N,E,Yes,2014
Graves,Tyto furcata,American Barn Owl,Aves,Strigiformes,Tytonidae,N,S,Yes,2022
Graves,Cyprogenia stegaria,Fanshell,Bivalvia,Unionoida,Unionidae,E,E,Yes,1997
Graves,Leaunio lienosus,Little Spectaclecase,Bivalvia,Unionoida,Unionidae,N,T,Yes,1985
Graves,Lacunicambarus chimera,Crawzilla Crawdad,Malacostraca,Decapoda,Cambaridae,N,S,Yes,2025
Graves,Procambarus viaeviridis,Vernal Crayfish,Malacostraca,Decapoda,Cambaridae,N,T,Yes,2000
Graves,Perimyotis subflavus,Tricolored Bat,Mammalia,Chiroptera,Vespertilionidae,PE,T,Yes,1990
Graves,Peromyscus gossypinus,Cotton Mouse,Mammalia,Rodentia,Cricetidae,N,T,Yes,2015
Graves,Ichthyomyzon castaneus,Chestnut Lamprey,Petromyzontida,Petromyzontiformes,Petromyzontidae,N,S,Yes,2022
Graves,Ichthyomyzon gagei,Southern Brook Lamprey,Petromyzontida,Petromyzontiformes,Petromyzontidae,N,E,Yes,2022
Graves,Clonophis kirtlandii,Kirtland's Snake,Reptilia,Squamata,Colubridae,N,T,Yes,2023
Graves,Farancia abacura reinwardtii,Western Mudsnake,Reptilia,Squamata,Colubridae,N,S,Yes,2024
Graves,Thamnophis saurita saurita,Eastern Ribbonsnake,Reptilia,Squamata,Colubridae,N,S,Yes,2023
Graves,Plestiodon anthracinus,Coal Skink,Reptilia,Squamata,Scincidae,N,E,Yes,2020
Graves,Aspidoscelis sexlineatus,Six-lined Racerunner,Reptilia,Squamata,Teiidae,N,S,Yes,2006
Grayson,Erimyzon sucetta,Lake Chubsucker,Actinopterygii,Cypriniformes,Catostomidae,N,T,Yes,1959
Grayson,Ictiobus niger,Black Buffalo,Actinopterygii,Cypriniformes,Catostomidae,N,S,Yes,1959
Grayson,Noturus exilis,Slender Madtom,Actinopterygii,Siluriformes,Ictaluridae,N,E,Yes,1959
Grayson,Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender,Amphibia,Caudata,Cryptobranchidae,PE,S,Yes,2000
Grayson,Accipiter striatus,Sharp-shinned Hawk,Aves,Accipitriformes,Accipitridae,N,S,Yes,2014
Grayson,Circus hudsonius,Northern Harrier,Aves,Accipitriformes,Accipitridae,N,T,Yes,2013
Grayson,Haliaeetus leucocephalus,Bald Eagle,Aves,Accipitriformes,Accipitridae,N,S,Yes,2021
Grayson,Pandion haliaetus,Osprey,Aves,Accipitriformes,Pandionidae,N,S,Yes,2002
Grayson,Actitis macularius,Spotted Sandpiper,Aves,Charadriiformes,Scolopacidae,N,E,Yes,2003
