Common Name,Scientific Name,Status,State
beluga whale,Delphinapterus leucas,Endangered,All
Ben Lomond spineflower,Chorizanthe pungens var. hartwegiana,Endangered,All
Ben Lomond wallflower,Erysimum teretifolium,Endangered,All
Benton County cave crayfish,Cambarus aculabrum,Endangered,All
Berenghenas halomtano,Solanum guamense,Endangered,All
Bermuda petrel,Pterodroma cahow,Endangered,All
Big Bend gambusia,Gambusia gaigei,Endangered,All
Big Creek Crayfish,Faxonius peruncus,Threatened,All
big-leaved crownbeard,Verbesina dissita,Threatened,All
Big Pine partridge pea,Chamaecrista lineata keyensis,Endangered,All
Big Sandy crayfish,Cambarus callainus,Threatened,All
Big Spring spinedace,Lepidomeda mollispinis pratensis,Threatened,All
Birdwing pearlymussel,Lemiox rimosus,Endangered,All
Black Abalone,Haliotis cracherodii,Endangered,All
black-breasted puffleg,Eriocnemis nigrivestis,Endangered,All
Blackburn's sphinx moth,Manduca blackburni,Endangered,All
Black caiman,Melanosuchus niger,Endangered,All
Black-capped Petrel,Pterodroma hasitata,Endangered,All
Blackchin guitarfish,Rhinobatos cemiculus,Threatened,All
Black clubshell,Pleurobema curtum,Endangered,All
Black colobus monkey,Colobus satanas,Endangered,All
Black-faced impala,Aepyceros melampus petersi,Endangered,All
Black-footed cat,Felis nigripes,Endangered,All
Black-footed ferret,Mustela nigripes,Endangered,All
Black-fronted piping-guan,Pipile jacutinga,Endangered,All
Black hooded (black-headed) antwren,Formicivora erythronotos,Endangered,All
Black howler monkey,Alouatta pigra,Threatened,All
Black lace cactus,Echinocereus reichenbachii var. albertii,Endangered,All
Blackline Hawaiian damselfly,Megalagrion nigrohamatum nigrolineatum,Endangered,All
Black-necked Crane,Grus nigricollis,Endangered,All
Black pinesnake,Pituophis melanoleucus lodingi,Threatened,All
Black rhinoceros,Diceros bicornis,Endangered,All
Blackside dace,Phoxinus cumberlandensis,Threatened,All
Black softshell turtle,Trionyx nigricans,Endangered,All
Black spored quillwort,Isoetes melanospora,Endangered,All
Black Stilt,Himantopus novaezelandiae,Endangered,All
Black warrior (=Sipsey Fork) Waterdog,Necturus alabamensis,Endangered,All
Bliss Rapids snail,Taylorconcha serpenticola,Threatened,All
Blodgett's silverbush,Argythamnia blodgettii,Threatened,All
Blowout penstemon,Penstemon haydenii,Endangered,All
Blue-billed curassow,Crax alberti,Endangered,All
bluemask darter,Etheostoma akatulo,Endangered,All
Blue Ridge goldenrod,Solidago spithamaea,Threatened,All
Blue shiner,Cyprinella caerulea,Threatened,All
blue-tailed mole skink,Eumeces egregius lividus,Threatened,All
Blue-throated macaw,Ara glaucogularis,Endangered,All
Blue-throated (=ochre-marked) parakeet,Pyrrhura cruentata,Endangered,All
Blue whale,Balaenoptera musculus,Endangered,All
Blunt-nosed leopard lizard,Gambelia silus,Endangered,All
Blyth's tragopan pheasant,Tragopan blythii,Endangered,All
Bocaccio,Sebastes paucispinis,Endangered,All
bog buck moth,Hemileuca maia menyanthevora (=H. iroquois),Endangered,All
bog turtle,Glyptemys muhlenbergii,Threatened,All
Bolivian short-tailed chinchilla,Chinchilla chinchilla boliviana,Endangered,All
Bolson tortoise,Gopherus flavomarginatus,Endangered,All
Bone Cave harvestman,Texella reyesi,Endangered,All
Bontebok,Damaliscus pygarus (=dorcas) dorcas,Endangered,All
